interaction_id,person_id
1,12
1,9
1,5
1,3
1,11
1,8
2,12
2,9
2,6
2,5
2,11
2,8
3,12
3,9
3,6
3,5
3,11
3,8
4,12
4,9
4,6
4,5
4,11
4,8
5,12
5,5
5,11
5,8
6,12
6,5
6,11
6,8
7,12
7,4
7,5
7,11
7,8
8,12
8,5
8,11
8,8
9,12
9,10
9,3
9,5
9,11
9,8
10,12
10,10
10,4
10,11
10,8
11,12
11,10
11,3
11,5
11,11
11,8
12,12
12,10
12,4
12,11
12,8
13,12
13,10
13,3
13,5
13,11
13,8
14,12
14,10
14,4
14,11
14,8
15,12
15,10
15,4
15,11
15,8
16,12
16,10
16,4
16,11
16,8
17,12
17,10
17,4
17,3
17,5
17,11
17,8
18,12
18,10
18,3
18,5
18,11
18,8
19,12
19,10
19,3
19,5
19,11
19,8
20,12
20,10
20,3
20,5
20,11
20,8
21,12
21,10
21,3
21,5
21,11
21,8
22,12
22,10
22,1
22,11
22,8
23,12
23,10
23,3
23,5
23,11
23,8
24,12
24,10
24,3
24,5
24,11
24,8
25,12
25,10
25,4
25,11
25,8
26,12
26,10
26,3
26,5
26,11
26,8
27,12
27,10
27,3
27,5
27,1
27,11
27,8
28,10
28,5
28,11
29,12
29,3
29,5
29,11
29,8
30,12
30,10
30,3
30,5
30,11
30,8
31,10
31,3
31,5
31,11
31,8
32,12
32,10
32,3
32,5
32,11
32,8
33,12
33,10
33,8
34,12
34,10
34,11
34,8
35,12
35,10
35,11
35,8
36,12
36,10
36,11
36,8
37,12
37,10
37,3
37,5
37,11
37,8
38,10
38,3
38,5
38,11
38,8
39,12
39,10
39,11
39,8
40,12
40,10
40,3
40,11
40,8
41,12
41,10
41,4
41,11
41,8
42,12
42,10
42,3
42,5
42,11
42,8
43,12
43,10
43,3
43,5
43,11
44,10
44,3
44,4
44,11
44,8
45,10
45,11
45,8
46,10
46,3
46,5
46,11
46,8
47,12
47,10
47,3
47,5
47,11
47,8
48,12
48,10
48,8
49,12
49,10
49,3
49,11
49,8
50,12
50,3
50,11
50,8
51,12
51,10
51,11
51,8
52,12
52,10
52,3
52,11
52,8
53,12
53,10
53,3
53,11
53,8
54,12
54,10
54,8
55,12
55,10
55,5
55,11
55,8
56,10
56,3
56,5
56,11
56,8
56,12
57,12
57,10
57,11
57,8
58,12
58,10
58,11
58,8
59,12
59,10
59,3
59,5
59,11
59,8
60,12
60,10
60,3
60,5
60,11
60,8
61,10
61,3
61,5
61,11
61,8
62,12
62,10
62,11
62,8
63,12
63,10
63,11
63,8
64,12
64,10
64,11
64,8
65,12
65,10
65,3
65,5
65,11
65,8
66,12
66,3
66,11
66,8
67,12
67,10
67,3
67,5
67,11
67,8
68,12
68,10
68,11
69,12
69,10
69,3
69,8
69,11
70,10
70,8
71,12
71,10
71,11
72,10
72,3
72,5
72,11
72,8
72,12
73,12
73,10
73,3
73,5
73,11
73,8
74,12
74,10
75,12
75,10
75,8
76,12
76,3
76,11
76,8
76,10
77,12
77,10
77,8
78,10
78,8
79,12
79,10
79,11
79,8
80,12
80,10
80,3
80,5
80,11
80,8
81,12
81,10
81,11
81,8
82,12
82,10
82,11
82,8
83,12
83,10
83,3
83,5
83,11
83,8
84,12
84,10
84,11
84,8
85,12
85,10
85,3
85,5
85,11
85,8
86,12
86,10
86,3
86,5
86,11
86,8
87,12
87,10
87,3
87,5
87,11
87,8
88,12
88,10
88,8
89,12
89,10
89,8
90,10
90,8
90,12
91,12
91,10
91,11
91,8
92,10
92,8
93,12
93,10
93,3
93,5
93,11
93,8
94,12
94,10
94,3
94,5
94,11
94,8
95,12
95,10
95,3
95,5
95,11
95,8
96,12
96,3
96,11
96,8
97,10
97,11
97,12
98,12
98,10
98,3
98,5
98,11
98,8
99,12
99,10
99,3
99,5
99,11
99,8
100,12
100,10
100,3
100,5
100,11
100,8
101,12
101,10
101,11
101,8
102,10
102,11
103,12
103,10
103,3
103,5
103,11
103,8
104,12
104,10
104,11
105,12
105,10
105,11
105,8
106,10
106,8
107,10
107,8
108,10
108,8
109,12
109,10
109,3
109,5
109,11
109,8
110,12
110,10
110,11
110,8
111,12
111,10
111,3
111,5
111,11
111,8
112,10
112,8
113,10
113,8
113,11
114,10
114,8
115,10
115,8
116,12
116,3
116,11
116,8
117,10
117,8
118,12
118,10
118,8
118,11
119,10
119,8
120,10
120,8
121,10
121,8
122,12
122,10
122,11
122,8
123,10
123,8
124,12
124,10
124,3
124,5
124,11
124,8
125,10
125,8
126,12
126,10
126,11
126,8
127,12
127,10
127,3
127,5
127,11
127,8
128,12
128,10
128,11
128,8
129,12
129,10
129,8
130,12
130,10
130,11
130,8
131,12
131,10
131,11
131,8
132,12
132,10
132,11
132,8
133,12
133,10
133,11
133,8
134,12
134,10
134,11
134,8
135,12
135,10
135,11
135,8
136,12
136,3
136,11
136,8
137,12
137,10
137,8
138,12
138,10
138,11
138,8
139,12
139,10
139,11
139,8
140,12
140,10
140,11
140,8
141,12
141,10
141,11
141,8
141,3
141,5
142,12
142,11
142,8
142,10
143,12
143,10
143,11
143,8
144,10
144,3
144,5
144,11
144,8
145,12
145,10
145,3
145,11
145,8
146,12
146,10
146,3
146,5
146,11
146,8
147,12
147,10
147,5
147,11
147,8
148,12
148,10
148,3
148,5
148,11
148,8
149,12
149,10
149,5
149,11
149,8
150,12
150,10
150,5
150,11
150,8
151,10
151,5
151,11
151,8
152,12
152,10
152,9
152,11
152,8
153,12
153,10
153,9
153,3
153,5
153,4
